                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78057,                 2.4893,                0.97553,                0.83101,                0.44909,                0.76972,                0.62024,                 0.7072,                 2.0605,                0.88482,             0.00041193,             0.00041193,             0.00041193
                      2,                 0.8064,                 1.4583,                 1.0002,                0.88742,                0.82182,                0.87283,                0.67343,                0.69893,                 1.0887,                0.93966,             0.00081219,             0.00081219,             0.00081219
                      3,                0.79439,                 1.3022,                0.99449,                0.82391,                0.75435,                0.84671,                0.63902,                 0.7627,                 1.0608,                0.97566,               0.001196,               0.001196,               0.001196
                      4,                0.79828,                 1.2542,                 1.0328,                0.83085,                0.81537,                0.87271,                0.68887,                0.70312,                0.84884,                0.93301,              0.0011757,              0.0011757,              0.0011757
                      5,                0.74184,                 1.0507,                0.98295,                0.87872,                0.80141,                0.87501,                0.68852,                0.70834,                0.75679,                0.94362,               0.001151,               0.001151,               0.001151
                      6,                0.75978,                0.98909,                 0.9914,                0.87545,                0.83656,                0.86331,                0.70065,                0.67601,                0.71317,                0.92886,              0.0011263,              0.0011263,              0.0011263
                      7,                0.74911,                0.93248,                0.98227,                0.91307,                0.77225,                0.84586,                0.70909,                0.60574,                0.69049,                0.90738,              0.0011015,              0.0011015,              0.0011015
                      8,                0.72136,                0.84747,                0.96437,                0.81229,                0.78026,                0.84201,                0.66925,                0.62738,                0.73847,                0.91018,              0.0010768,              0.0010768,              0.0010768
                      9,                0.72358,                0.76315,                0.98146,                0.95476,                 0.8129,                0.91357,                 0.7183,                0.64342,                0.55189,                0.91638,               0.001052,               0.001052,               0.001052
                     10,                0.69064,                 0.7423,                0.97211,                0.91998,                0.83862,                0.91665,                0.75737,                0.58413,                0.47649,                 0.8924,              0.0010273,              0.0010273,              0.0010273
                     11,                0.68215,                0.70976,                0.95617,                0.92946,                0.85887,                0.93253,                0.76769,                0.59267,                0.50872,                0.91048,              0.0010025,              0.0010025,              0.0010025
                     12,                0.66485,                0.67118,                0.96087,                0.92128,                0.91113,                0.92877,                0.75322,                0.61172,                0.48598,                0.91689,             0.00097775,             0.00097775,             0.00097775
                     13,                0.67314,                0.63489,                0.95749,                0.88767,                 0.8819,                0.89626,                0.71192,                0.61786,                0.49629,                0.91903,               0.000953,               0.000953,               0.000953
                     14,                0.64273,                0.58693,                 0.9478,                0.91897,                0.88852,                0.93026,                0.77087,                0.59155,                0.43946,                0.90553,             0.00092825,             0.00092825,             0.00092825
                     15,                0.65092,                0.57106,                0.95227,                0.93919,                0.87658,                0.94689,                0.78044,                0.56306,                0.41771,                0.89015,              0.0009035,              0.0009035,              0.0009035
                     16,                0.65237,                0.59064,                0.95552,                0.91482,                0.83472,                0.93108,                0.76602,                0.57488,                0.45478,                0.88401,             0.00087875,             0.00087875,             0.00087875
                     17,                0.65186,                0.57837,                0.95084,                0.90112,                0.91253,                0.93864,                0.76314,                 0.6264,                0.44879,                0.93415,               0.000854,               0.000854,               0.000854
                     18,                0.64587,                0.54093,                0.95038,                0.91259,                0.89927,                 0.9484,                0.78194,                0.55517,                0.40387,                0.89835,             0.00082925,             0.00082925,             0.00082925
                     19,                0.60536,                0.51792,                0.93099,                0.88884,                0.88294,                0.92167,                0.75289,                0.56688,                0.45414,                0.89588,              0.0008045,              0.0008045,              0.0008045
                     20,                0.62044,                0.52003,                0.93831,                0.91125,                0.91714,                0.93886,                0.77274,                0.57169,                0.41707,                0.89847,             0.00077975,             0.00077975,             0.00077975
                     21,                0.59534,                0.48993,                0.93434,                0.94311,                0.93224,                0.95531,                0.78537,                0.56075,                0.39649,                0.89311,               0.000755,               0.000755,               0.000755
                     22,                0.59577,                0.49415,                0.93829,                0.88664,                0.92815,                0.96034,                0.79624,                0.54829,                0.38732,                0.88483,             0.00073025,             0.00073025,             0.00073025
                     23,                 0.5852,                0.47077,                0.91989,                0.94246,                0.94154,                0.95737,                0.78388,                0.56964,                0.38634,                0.89449,              0.0007055,              0.0007055,              0.0007055
                     24,                0.59918,                0.46316,                0.92556,                0.87449,                0.93881,                0.96268,                 0.7863,                0.56285,                 0.3944,                0.89083,             0.00068075,             0.00068075,             0.00068075
                     25,                0.59708,                 0.4504,                0.92413,                0.92449,                0.94057,                0.95317,                0.77462,                0.58919,                0.37247,                0.90595,               0.000656,               0.000656,               0.000656
                     26,                0.58889,                0.44977,                0.92416,                0.94028,                0.90709,                0.93929,                0.76622,                0.55985,                0.37662,                0.88884,             0.00063125,             0.00063125,             0.00063125
                     27,                 0.5869,                0.42951,                0.92089,                0.93039,                 0.9227,                0.96236,                 0.8073,                0.52895,                  0.359,                0.88318,              0.0006065,              0.0006065,              0.0006065
